,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover,Country
0,Safaga,33.94,26.73,75.2,4.7,31.0,0.0,EG
0,Sabha,14.43,27.04,74.98,10.54,28.0,76.0,LY
0,San Buenaventura,-101.53,27.08,82.0,5.01,38.0,100.0,MX
0,Nāgaur,73.73,27.2,87.22,11.72,27.0,0.0,IN
0,Gulf Gate Estates,-82.51,27.25,77.0,8.05,69.0,1.0,US
0,Abnūb,31.15,27.27,69.8,20.8,52.0,0.0,EG
0,Bandi̇̄pur,84.42,27.93,65.77,2.68,48.0,0.0,NP
0,Guerrero Negro,-114.06,27.98,71.49,17.0,62.0,0.0,MX
0,Khāsh,61.22,28.22,70.5,1.63,21.0,0.0,IR
0,Naze,129.48,28.37,75.2,13.87,78.0,75.0,JP
0,Santa Cruz de Tenerife,-16.25,28.47,63.0,6.93,93.0,40.0,ES
0,Los Llanos de Aridane,-17.92,28.66,69.8,3.36,68.0,75.0,ES
0,Teguise,-13.56,29.06,66.2,2.24,72.0,20.0,ES
0,Fuling,107.39,29.7,68.02,2.82,88.0,100.0,CN
0,Nanhai,111.78,30.13,68.0,1.54,91.0,96.0,CN
0,Ajdabiya,20.23,30.76,59.94,8.68,48.0,0.0,LY
0,Sirte,16.59,31.21,62.19,12.68,80.0,75.0,LY
0,Kiryat Gat,34.76,31.61,64.99,4.0,76.0,56.0,IL
0,Rodolfo Sánchez Taboada,-116.57,31.72,69.01,5.99,78.0,0.0,MX
0,Al Bardīyah,25.09,31.76,60.96,9.51,73.0,0.0,LY
0,Huilong,121.66,31.81,73.99,1.01,80.0,75.0,CN
0,Jiangyin,120.31,31.93,66.99,11.43,77.0,32.0,CN
0,Masallātah,14.0,32.62,60.21,20.15,78.0,49.0,LY
0,Ponta do Sol,-17.1,32.67,64.4,2.24,72.0,20.0,PT
0,Silver City,-108.28,32.77,75.2,14.99,15.0,1.0,US
0,Jhelum,73.73,32.93,82.29,9.6,36.0,100.0,PK
0,Camacha,-16.33,33.08,66.2,13.87,88.0,40.0,PT
0,Avera,-82.53,33.19,68.0,3.36,60.0,90.0,US
0,Hīt,42.83,33.64,76.62,12.1,30.0,0.0,IQ
0,Shingū,135.98,33.73,66.2,5.82,63.0,75.0,JP
0,Rāwah,41.91,34.48,74.5,14.88,37.0,10.0,IQ
0,Lumberton,-79.01,34.62,60.8,4.7,67.0,90.0,US
0,Lompoc,-120.46,34.64,77.0,6.93,60.0,1.0,US
0,Gushi,109.58,34.64,56.79,14.2,83.0,100.0,CN
0,Shimoda,138.95,34.67,68.0,14.99,56.0,75.0,JP
0,Hamadan,48.51,34.8,49.62,2.8,52.0,0.0,IR
0,Havelock,-76.9,34.88,68.0,20.8,60.0,90.0,US
0,Chattanooga,-85.31,35.05,55.4,12.75,87.0,40.0,US
0,Katsuura,140.3,35.13,69.01,5.99,56.0,100.0,JP
0,Gijang,129.21,35.24,60.8,10.29,87.0,90.0,KR
0,Semnan,53.4,35.57,63.19,0.47,42.0,0.0,IR
0,Hasaki,140.83,35.73,68.0,10.29,59.0,75.0,JP
0,Avenal,-120.13,36.0,96.8,10.29,14.0,75.0,US
0,Kitaibaraki,140.75,36.78,69.01,7.02,46.0,100.0,JP
0,Timizart,4.27,36.8,68.9,5.57,49.0,100.0,DZ
0,Saint George,-113.58,37.1,87.8,6.93,6.0,1.0,US
0,Ningxiang,111.21,37.34,57.99,16.87,36.0,100.0,CN
0,Vila Franca do Campo,-25.43,37.72,59.0,20.8,93.0,75.0,PT
0,Ponta Delgada,-25.67,37.73,59.0,20.8,93.0,75.0,PT
0,Ergani,39.76,38.27,55.4,5.82,93.0,75.0,TR
0,Laguna,-121.42,38.42,95.0,3.18,12.0,1.0,US
0,Ribeira Grande,-28.7,38.52,63.3,18.97,91.0,100.0,PT
0,Praia da Vitória,-27.07,38.73,59.0,9.75,93.0,75.0,PT
0,Denia,0.11,38.84,66.0,5.01,86.0,100.0,ES
0,Zhangye,100.45,38.93,56.37,9.51,32.0,0.0,CN
0,Lagoa,-27.98,39.05,61.27,18.84,89.0,100.0,PT
0,Hamilton,-84.53,39.18,48.2,18.34,31.0,40.0,US
